City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
176,Revelstoke,50.9832,-118.2023,69.82,52,0,10.36,CA,clear sky
177,Yokadouma,3.5167,15.05,72.84,86,89,1.21,CM,light rain
178,Oppdal,62.5943,9.6912,42.39,78,48,10.63,NO,scattered clouds
179,Mahebourg,-20.4081,57.7,70.25,73,75,11.5,MU,broken clouds
180,Gresham,45.4982,-122.4315,78.58,54,0,3.0,US,clear sky
181,Victoria,22.2855,114.1577,85.32,82,89,5.01,HK,overcast clouds
182,Lorengau,-2.0226,147.2712,80.01,79,100,3.53,PG,overcast clouds
183,Laela,-8.5667,32.05,58.89,43,0,3.13,TZ,clear sky
184,Awbari,26.5921,12.7805,85.21,21,0,10.92,LY,clear sky
185,Barrow,71.2906,-156.7887,37.0,71,7,7.49,US,clear sky
186,Aklavik,68.2191,-135.0107,42.8,81,100,11.5,CA,shower rain
187,Gat,31.61,34.7642,77.81,100,0,3.78,IL,clear sky
188,Labuhan,-6.8844,112.2051,76.68,90,52,7.38,ID,light rain
189,Trinidad,-14.8333,-64.9,89.58,55,75,18.41,BO,broken clouds
190,Mount Isa,-20.7333,139.5,46.17,49,11,4.61,AU,few clouds
191,Torbay,47.6666,-52.7314,63.37,77,40,10.36,CA,scattered clouds
192,Dwarka,22.2394,68.9678,82.04,85,100,5.99,IN,overcast clouds
193,Sitka,57.0531,-135.33,55.44,87,100,5.59,US,overcast clouds
194,Jak,47.1425,16.5815,78.15,50,42,7.78,HU,scattered clouds
195,Moose Factory,51.2585,-80.6094,78.8,36,20,8.05,CA,few clouds
196,Bambous Virieux,-20.3428,57.7575,70.21,73,75,11.5,MU,light rain
197,Billings,45.7833,-108.5007,95.67,33,0,1.99,US,clear sky
198,Alofi,-19.0595,-169.9187,76.89,73,6,11.5,NU,clear sky
199,Cabo San Lucas,22.8909,-109.9124,93.61,64,13,8.61,MX,few clouds
200,Novyy Urengoy,66.0833,76.6333,55.02,62,12,6.55,RU,few clouds
201,Ziarat,30.3823,67.7282,64.96,70,100,2.71,PK,light rain
202,Suyan,6.0603,125.3853,75.02,91,56,2.24,PH,broken clouds
203,Faya,18.3851,42.4509,69.91,51,99,3.58,SA,overcast clouds
204,Grande Prairie,55.1667,-118.8027,66.38,45,75,14.97,CA,broken clouds
205,Kuching,1.55,110.3333,75.42,100,20,2.3,MY,few clouds
206,Boddam,57.4667,-1.7833,57.58,78,81,7.49,GB,broken clouds
207,Belen,36.4891,36.2233,69.91,79,1,8.03,TR,clear sky
208,Fairbanks,64.8378,-147.7164,65.23,44,0,5.75,US,clear sky
209,Miranda,3.2499,-76.2281,82.53,66,56,1.95,CO,broken clouds
210,Viedma,-40.8135,-62.9967,49.57,77,100,17.05,AR,light rain
211,Bara,10.3744,10.7288,74.59,88,58,8.32,NG,moderate rain
212,Eureka,40.8021,-124.1637,76.68,78,67,4.0,US,broken clouds
213,Hamada,34.8833,132.0833,74.71,94,100,8.34,JP,overcast clouds
214,Omboue,-1.5746,9.2618,71.49,87,0,5.59,GA,clear sky
215,Thompson,55.7435,-97.8558,69.96,88,75,2.3,CA,broken clouds
216,Cururupu,-1.8283,-44.8683,79.86,82,36,6.53,BR,scattered clouds
217,Jeremie,18.65,-74.1167,82.69,74,100,6.38,HT,overcast clouds
218,Kamenka,51.3223,42.7678,59.32,86,18,11.88,RU,few clouds
219,Qui Nhon,13.7667,109.2333,79.07,87,100,5.23,VN,overcast clouds
220,San Patricio,28.017,-97.5169,99.32,37,35,15.55,US,scattered clouds
221,Pacifica,37.6138,-122.4869,84.99,77,75,6.91,US,mist
222,Port Pirie,-33.1833,138.0167,44.85,72,0,6.2,AU,clear sky
223,Lidkoping,58.5052,13.1577,59.02,81,68,7.23,SE,broken clouds
224,Hamilton,39.1834,-84.5333,87.75,46,30,5.01,US,scattered clouds
225,Prince Rupert,54.3161,-130.3201,57.29,86,100,17.27,CA,overcast clouds
226,Nova Olimpia,-14.7972,-57.2881,94.35,20,60,8.01,BR,broken clouds
227,Huntsville,34.7304,-86.5861,91.54,45,40,7.0,US,scattered clouds
228,Jiuquan,39.7432,98.5174,70.97,52,100,14.03,CN,overcast clouds
229,Wukari,7.85,9.7833,75.36,85,15,4.94,NG,few clouds
230,Guipavas,48.4352,-4.3972,64.56,68,0,12.66,FR,clear sky
231,Castro,-24.7911,-50.0119,67.78,63,43,6.13,BR,scattered clouds
232,Suzdal,56.4281,40.4414,57.81,95,100,5.95,RU,light rain
233,Nova Serrana,-19.8761,-44.9836,77.23,24,53,8.57,BR,broken clouds
234,Nabire,-3.3667,135.4833,76.12,92,100,3.29,ID,overcast clouds
235,Aasiaat,68.7098,-52.8699,38.26,89,35,12.37,GL,scattered clouds
236,Leshukonskoye,64.8989,45.7622,63.7,89,100,3.65,RU,overcast clouds
237,Manokwari,-0.8667,134.0833,77.27,82,86,3.22,ID,overcast clouds
238,Vardo,70.3705,31.1107,57.18,94,75,4.61,NO,moderate rain
239,Padang,-0.9492,100.3543,77.05,85,100,5.57,ID,overcast clouds
240,Hami,42.8,93.45,76.59,22,8,6.31,CN,clear sky
241,Solone,48.2081,34.8721,63.61,69,16,5.06,UA,few clouds
242,Whitehorse,60.7161,-135.0538,52.57,86,100,4.61,CA,overcast clouds
243,Salalah,17.0151,54.0924,77.9,93,97,5.79,OM,light rain
244,Cap Malheureux,-19.9842,57.6142,70.47,73,22,5.01,MU,few clouds
245,Kodiak,57.79,-152.4072,56.88,82,100,1.45,US,overcast clouds
246,Turukhansk,65.8167,87.9833,46.62,86,11,6.46,RU,few clouds
247,Dalbandin,28.8947,64.4101,88.45,36,50,7.76,PK,scattered clouds
248,Ulaangom,49.9811,92.0667,50.83,66,23,4.03,MN,few clouds
249,Moroto,2.5345,34.6666,69.93,55,100,3.22,UG,overcast clouds
250,Erdenet,49.0333,104.0833,48.38,90,72,2.64,MN,broken clouds
251,Cherskiy,68.75,161.3,45.19,58,100,1.88,RU,overcast clouds
252,Neiafu,-18.65,-173.9833,77.68,78,20,10.36,TO,few clouds
253,Batemans Bay,-35.7167,150.1833,40.17,79,0,5.66,AU,clear sky
254,Chuy,-33.6971,-53.4616,57.18,93,59,8.77,UY,broken clouds
255,Saint-Joseph,-21.3667,55.6167,65.21,80,88,8.72,RE,light rain
256,Kargasok,59.0556,80.8572,49.82,89,59,2.8,RU,broken clouds
257,Tezu,27.9167,96.1667,78.26,86,55,4.74,IN,broken clouds
258,Zhuhai,22.2769,113.5678,85.86,84,20,5.75,CN,few clouds
259,Kruisfontein,-34.0033,24.7314,52.65,88,29,6.6,ZA,scattered clouds
260,Benguela,-12.5763,13.4055,67.82,88,9,3.15,AO,clear sky
261,Tres Barras,-26.1064,-50.3222,64.22,87,100,1.3,BR,overcast clouds
262,Grand Gaube,-20.0064,57.6608,70.38,73,30,5.01,MU,scattered clouds
263,Itabira,-19.6192,-43.2269,71.85,49,17,5.7,BR,few clouds
264,San Cristobal,7.7669,-72.225,82.58,38,42,3.98,VE,scattered clouds
265,Kautokeino,69.0125,23.0412,57.96,97,100,17.05,NO,moderate rain
266,Puteaux,48.8834,2.2389,79.36,47,0,16.11,FR,clear sky
267,Komsomolskiy,40.4272,71.7189,77.72,38,0,6.91,UZ,clear sky
268,Pittsburg,38.028,-121.8847,93.47,39,0,5.99,US,clear sky
269,Sarakhs,36.5449,61.1577,84.9,16,0,10.89,IR,clear sky
270,Fort Saint James,54.4333,-124.25,62.01,58,100,8.01,CA,overcast clouds
271,Myitkyina,25.3833,97.4,78.08,95,12,1.41,MM,few clouds
272,Santa Lucia,27.9117,-15.5407,66.76,68,20,31.07,ES,few clouds
273,Lagoa,39.05,-27.9833,69.84,90,35,15.12,PT,scattered clouds
274,Acapulco,16.8634,-99.8901,86.38,67,96,7.56,MX,overcast clouds
275,Makakilo City,21.3469,-158.0858,78.57,81,100,10.36,US,light rain
276,Faanui,-16.4833,-151.75,77.27,68,100,25.99,PF,overcast clouds
277,Filadelfia,39.9523,-75.1638,92.17,45,4,4.0,US,clear sky
278,Kasongo-Lunda,-6.4667,16.8167,72.79,30,2,1.48,CD,clear sky
279,Vanimo,-2.6741,141.3028,76.26,90,100,2.21,PG,light rain
280,Strangnas,59.3774,17.0312,57.29,64,100,9.44,SE,overcast clouds
281,Hohhot,40.8106,111.6522,64.69,59,0,4.47,CN,clear sky
282,Belaya Gora,68.5333,146.4167,57.58,64,9,3.53,RU,clear sky
283,Portland,45.5234,-122.6762,79.7,53,0,5.99,US,clear sky
284,Xingcheng,40.6167,120.7167,71.83,70,1,6.42,CN,clear sky
285,Jacksonville,30.3322,-81.6556,94.98,57,75,6.91,US,broken clouds
