City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
209,Miranda,CO,82.53,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
212,Eureka,US,76.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
216,Cururupu,BR,79.86,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
217,Jeremie,HT,82.69,overcast clouds,18.65,-74.1167,Auberge’Inn
219,Qui Nhon,VN,79.07,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
221,Pacifica,US,84.99,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
224,Hamilton,US,87.75,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
229,Wukari,NG,75.36,few clouds,7.85,9.7833,Elimtop
233,Nova Serrana,BR,77.23,broken clouds,-19.8761,-44.9836,ALPHACENTER HOTEL - NOVA SERRANA - MG RESERVAS 03732261001
234,Nabire,ID,76.12,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
237,Manokwari,ID,77.27,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
239,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
240,Hami,CN,76.59,clear sky,42.8,93.45,Laoyutang Resort
243,Salalah,OM,77.9,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
247,Dalbandin,PK,88.45,scattered clouds,28.8947,64.4101,Sanjrani House
252,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
257,Tezu,IN,78.26,broken clouds,27.9167,96.1667,Circuit House
258,Zhuhai,CN,85.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
264,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
266,Puteaux,FR,79.36,clear sky,48.8834,2.2389,Best Western Seine West Hotel
267,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
269,Sarakhs,IR,84.9,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
271,Myitkyina,MM,78.08,few clouds,25.3833,97.4,Shwe Phyu Hotel
274,Acapulco,MX,86.38,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Makakilo City,US,78.57,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
276,Faanui,PF,77.27,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
279,Vanimo,PG,76.26,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
283,Portland,US,79.7,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
286,Muros,ES,81.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
289,Porto Novo,BJ,75.87,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
290,Salinopolis,BR,80.73,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
291,Katsuura,JP,75.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
294,Pedasi,PA,84.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
299,Mouila,GA,78.82,scattered clouds,-1.8685,11.0559,Hôtel du Lac Bleu
303,Shetpe,KZ,87.26,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
306,Cravo Norte,CO,86.11,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
307,Peniche,PT,77.07,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
308,Renqiu,CN,78.94,scattered clouds,38.6989,116.0936,City Garden Renqiu Meishicheng Store
309,Jawhar,SO,75.72,few clouds,2.7809,45.5005,Hotel Shabelle
316,Moyobamba,PE,83.95,clear sky,-6.05,-76.9667,Hospedaje Mariluna
319,Ranir Bazar,IN,79.54,light rain,23.8333,91.3667,Robiul
321,Sorong,ID,77.22,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
323,Dingle,PH,75.47,light rain,10.9995,122.6711,SEGAYA PROPERTY
332,Babu,CN,78.94,scattered clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
334,Lata,PT,82.08,overcast clouds,40.1629,-8.3327,Casa Maquia
339,Chingirlau,KZ,79.9,overcast clouds,51.095,54.0814,Хостыл Аққу
343,Buzmeyin,TM,89.35,clear sky,38.0507,58.2056,
345,Praia,CV,76.14,few clouds,14.9215,-23.5087,LT Aparthotel
347,Sarangani,PH,81.5,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
348,Niquelandia,BR,86.76,overcast clouds,-14.4739,-48.4597,Hotel Suinã
349,Sibolga,ID,77.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
