City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,Voyvozh,RU,2022-07-14 15:45:36,62.892,54.9635,64.11,95,94,1.72
80,Puerto Ayora,EC,2022-07-14 15:45:37,-0.7393,-90.3518,76.96,91,89,8.99
81,Hirara,JP,2022-07-14 15:40:58,24.8,125.2833,84.72,85,95,15.57
82,Pevek,RU,2022-07-14 15:45:38,69.7008,170.3133,33.71,85,7,13.29
83,Hithadhoo,MV,2022-07-14 15:45:38,-0.6,73.0833,83.62,74,100,15.19
84,Anloga,GH,2022-07-14 15:45:38,5.7947,0.8973,77.23,83,79,14.94
85,Nikolskoye,RU,2022-07-14 15:45:39,59.7035,30.7861,66.87,88,74,6.62
86,Sawtell,AU,2022-07-14 15:45:40,-30.3833,153.1,53.62,71,14,9.22
87,Cherskiy,RU,2022-07-14 15:45:41,68.75,161.3,36.48,79,26,8.7
88,Vestmannaeyjar,IS,2022-07-14 15:45:41,63.4427,-20.2734,52.79,76,20,11.5
89,Airai,TL,2022-07-14 15:45:41,-8.9266,125.4092,54.36,89,51,2.71
90,Okhotsk,RU,2022-07-14 15:41:46,59.3833,143.3,57.76,98,82,3.4
91,Coquimbo,CL,2022-07-14 15:43:21,-29.9533,-71.3436,55.13,87,75,2.3
92,Bengkulu,ID,2022-07-14 15:45:40,-3.8004,102.2655,76.91,93,99,5.39
93,Onega,RU,2022-07-14 15:45:43,63.9061,38.1404,68.32,58,72,4.56
94,Mataura,NZ,2022-07-14 15:46:44,-46.1927,168.8643,35.47,98,97,1.7
95,Codrington,AU,2022-07-14 15:46:45,-38.2667,141.9667,43.86,97,23,8.75
96,Aguimes,ES,2022-07-14 15:46:45,27.9054,-15.4461,75.83,57,20,29.93
97,Nampa,US,2022-07-14 15:42:31,43.5407,-116.5635,83.35,42,0,5.75
98,Barrow,US,2022-07-14 15:46:46,71.2906,-156.7887,33.82,80,100,8.05
99,Santa Rosa,PH,2022-07-14 15:46:46,14.3122,121.1114,83.1,88,73,1.39
100,Upernavik,GL,2022-07-14 15:46:47,72.7868,-56.1549,39.6,86,31,13.0
101,Lorengau,PG,2022-07-14 15:46:47,-2.0226,147.2712,81.41,75,100,3.0
102,Yellowknife,CA,2022-07-14 15:46:49,62.456,-114.3525,57.72,94,75,3.44
